id,Council,DataZ
1,Aberdeen City,S01000001
2,Aberdeen City,S01000002
3,Aberdeen City,S01000003
4,Aberdeen City,S01000004
5,Aberdeen City,S01000005
6,Aberdeen City,S01000006
7,Aberdeen City,S01000007
8,Aberdeen City,S01000008
9,Aberdeen City,S01000009
10,Aberdeen City,S01000010
11,Aberdeen City,S01000011
12,Aberdeen City,S01000012
13,Aberdeen City,S01000013
14,Aberdeen City,S01000014
15,Aberdeen City,S01000015
16,Aberdeen City,S01000016
17,Aberdeen City,S01000017
18,Aberdeen City,S01000018
19,Aberdeen City,S01000019
20,Aberdeen City,S01000020
21,Aberdeen City,S01000021
22,Aberdeen City,S01000022
23,Aberdeen City,S01000023
24,Aberdeen City,S01000024
25,Aberdeen City,S01000025
26,Aberdeen City,S01000026
27,Aberdeen City,S01000027
28,Aberdeen City,S01000028
29,Aberdeen City,S01000029
30,Aberdeen City,S01000030
31,Aberdeen City,S01000031
32,Aberdeen City,S01000032
33,Aberdeen City,S01000033
34,Aberdeen City,S01000034
35,Aberdeen City,S01000035
36,Aberdeen City,S01000036
37,Aberdeen City,S01000037
38,Aberdeen City,S01000038
39,Aberdeen City,S01000039
40,Aberdeen City,S01000040
41,Aberdeen City,S01000041
42,Aberdeen City,S01000042
43,Aberdeen City,S01000043
44,Aberdeen City,S01000044
45,Aberdeen City,S01000045
46,Aberdeen City,S01000046
47,Aberdeen City,S01000047
48,Aberdeen City,S01000048
49,Aberdeen City,S01000049
50,Aberdeen City,S01000050
51,Aberdeen City,S01000051
52,Aberdeen City,S01000052
53,Aberdeen City,S01000053
54,Aberdeen City,S01000054
55,Aberdeen City,S01000055
56,Aberdeen City,S01000056
57,Aberdeen City,S01000057
58,Aberdeen City,S01000058
59,Aberdeen City,S01000059
60,Aberdeen City,S01000060
61,Aberdeen City,S01000061
62,Aberdeen City,S01000062
63,Aberdeen City,S01000063
64,Aberdeen City,S01000064
65,Aberdeen City,S01000065
66,Aberdeen City,S01000066
67,Aberdeen City,S01000067
68,Aberdeen City,S01000068
69,Aberdeen City,S01000069
70,Aberdeen City,S01000070
71,Aberdeen City,S01000071
72,Aberdeen City,S01000072
73,Aberdeen City,S01000073
74,Aberdeen City,S01000074
75,Aberdeen City,S01000075
76,Aberdeen City,S01000076
77,Aberdeen City,S01000077
78,Aberdeen City,S01000078
79,Aberdeen City,S01000079
80,Aberdeen City,S01000080
81,Aberdeen City,S01000081
82,Aberdeen City,S01000082
83,Aberdeen City,S01000083
84,Aberdeen City,S01000084
85,Aberdeen City,S01000085
86,Aberdeen City,S01000086
87,Aberdeen City,S01000087
88,Aberdeen City,S01000088
89,Aberdeen City,S01000089
90,Aberdeen City,S01000090
91,Aberdeen City,S01000091
92,Aberdeen City,S01000092
93,Aberdeen City,S01000093
94,Aberdeen City,S01000094
95,Aberdeen City,S01000095
96,Aberdeen City,S01000096
97,Aberdeen City,S01000097
98,Aberdeen City,S01000098
99,Aberdeen City,S01000099
100,Aberdeen City,S01000100
101,Aberdeen City,S01000101
102,Aberdeen City,S01000102
103,Aberdeen City,S01000103
104,Aberdeen City,S01000104
105,Aberdeen City,S01000105
106,Aberdeen City,S01000106
107,Aberdeen City,S01000107
108,Aberdeen City,S01000108
109,Aberdeen City,S01000109
110,Aberdeen City,S01000110
111,Aberdeen City,S01000111
112,Aberdeen City,S01000112
113,Aberdeen City,S01000113
114,Aberdeen City,S01000114
115,Aberdeen City,S01000115
116,Aberdeen City,S01000116
117,Aberdeen City,S01000117
118,Aberdeen City,S01000118
119,Aberdeen City,S01000119
120,Aberdeen City,S01000120
121,Aberdeen City,S01000121
122,Aberdeen City,S01000122
123,Aberdeen City,S01000123
124,Aberdeen City,S01000124
125,Aberdeen City,S01000125
126,Aberdeen City,S01000126
127,Aberdeen City,S01000127
128,Aberdeen City,S01000128
129,Aberdeen City,S01000129
130,Aberdeen City,S01000130
131,Aberdeen City,S01000131
132,Aberdeen City,S01000132
133,Aberdeen City,S01000133
134,Aberdeen City,S01000134
135,Aberdeen City,S01000135
136,Aberdeen City,S01000136
137,Aberdeen City,S01000137
138,Aberdeen City,S01000138
139,Aberdeen City,S01000139
140,Aberdeen City,S01000140
141,Aberdeen City,S01000141
142,Aberdeen City,S01000142
143,Aberdeen City,S01000143
144,Aberdeen City,S01000144
145,Aberdeen City,S01000145
146,Aberdeen City,S01000146
147,Aberdeen City,S01000147
148,Aberdeen City,S01000148
149,Aberdeen City,S01000149
150,Aberdeen City,S01000150
151,Aberdeen City,S01000151
152,Aberdeen City,S01000152
153,Aberdeen City,S01000153
154,Aberdeen City,S01000154
155,Aberdeen City,S01000155
156,Aberdeen City,S01000156
157,Aberdeen City,S01000157
158,Aberdeen City,S01000158
159,Aberdeen City,S01000159
160,Aberdeen City,S01000160
161,Aberdeen City,S01000161
162,Aberdeen City,S01000162
163,Aberdeen City,S01000163
164,Aberdeen City,S01000164
165,Aberdeen City,S01000165
166,Aberdeen City,S01000166
167,Aberdeen City,S01000167
168,Aberdeen City,S01000168
169,Aberdeen City,S01000169
170,Aberdeen City,S01000170
171,Aberdeen City,S01000171
172,Aberdeen City,S01000172
173,Aberdeen City,S01000173
174,Aberdeen City,S01000174
175,Aberdeen City,S01000175
