id,Council,IntZ,code
1,Clackmannanshire,Tillicoultry,S02000163
2,Clackmannanshire,Alva,S02000162
3,Clackmannanshire,Dollar and Muckhart,S02000161
4,Clackmannanshire,Menstrie,S02000160
5,Clackmannanshire,Tullibody North and Glenochil,S02000159
6,Clackmannanshire,"Fishcross, Devon Village and Coalsnaughton",S02000158
7,Clackmannanshire,Alloa North,S02000157
8,Clackmannanshire,Tullibody South,S02000156
9,Clackmannanshire,Sauchie,S02000155
10,Clackmannanshire,Alloa West,S02000154
11,Clackmannanshire,Alloa South and East,S02000153
12,Clackmannanshire,"Clackmannan, Kennet and Forestmill",S02000152
13,Dumfries and Galloway,Rotchell and Rosefield,S02000182
14,Dumfries and Galloway,Dumfries West,S02000183
15,Dumfries and Galloway,Dumfries East,S02000184
16,Dumfries and Galloway,Summerville,S02000185
17,Dumfries and Galloway,Nithside and Nunholm,S02000186
18,Dumfries and Galloway,Lincluden and Lochside,S02000187
19,Dumfries and Galloway,Locharbriggs,S02000188
20,Dumfries and Galloway,Catherinefield,S02000189
21,Dumfries and Galloway,Boreland and Ecclefechan,S02000190
22,Dumfries and Galloway,Lower Nithsdale,S02000191
23,Dumfries and Galloway,Lochmaben and Parkgate,S02000192
24,Dumfries and Galloway,Crocketford and Carsphairn,S02000193
25,Dumfries and Galloway,Lockerbie and Mid Annandale,S02000194
26,Dumfries and Galloway,Langholm and Canonbie,S02000195
27,Dumfries and Galloway,Mid Nithsdale,S02000196
28,Dumfries and Galloway,Moffat and Eskdalemuir,S02000197
29,Dumfries and Galloway,Upper Nithsdale,S02000198
30,Dumfries and Galloway,Stranraer Central,S02000169
31,Dumfries and Galloway,Castle Douglas,S02000168
32,Dumfries and Galloway,Dalbeattie,S02000167
33,Dumfries and Galloway,Kirkcudbright,S02000166
34,Dumfries and Galloway,Kirkmaiden,S02000165
35,Dumfries and Galloway,Machars South,S02000164
36,Dumfries and Galloway,Stranraer West,S02000170
37,Dumfries and Galloway,Moors,S02000171
38,Dumfries and Galloway,Portpatrick,S02000172
39,Dumfries and Galloway,Fleet,S02000173
40,Dumfries and Galloway,Annan South,S02000174
41,Dumfries and Galloway,New Abbey,S02000175
42,Dumfries and Galloway,Gretna and Eastriggs,S02000176
43,Dumfries and Galloway,Annan North,S02000177
44,Dumfries and Galloway,Lower Annandale and South East Dumfries,S02000178
45,Dumfries and Galloway,Cree Valley,S02000179
46,Dumfries and Galloway,Dumfries South,S02000180
47,Dumfries and Galloway,Georgetown,S02000181
48,East Ayrshire,Doon Valley South,S02000230
49,East Ayrshire,Doon Valley North,S02000231
50,East Ayrshire,New Cumnock,S02000232
51,East Ayrshire,Drongan,S02000233
52,East Ayrshire,Cumnock South and Craigens,S02000234
53,East Ayrshire,Mauchline Rural,S02000235
54,East Ayrshire,Cumnock North,S02000236
55,East Ayrshire,Cumnock Rural,S02000237
56,East Ayrshire,Auchinleck,S02000238
57,East Ayrshire,Mauchline,S02000239
58,East Ayrshire,Shortlees,S02000240
59,East Ayrshire,Bellfield and Kirkstyle,S02000241
60,East Ayrshire,Galston,S02000242
61,East Ayrshire,Kilmarnock South Central and Caprington,S02000243
62,East Ayrshire,Earlston and Hurlford Rural,S02000244
63,East Ayrshire,"Grange, Howard and Gargieston",S02000245
64,East Ayrshire,Newmilns,S02000246
65,East Ayrshire,Darvel,S02000247
66,East Ayrshire,Piersland,S02000248
67,East Ayrshire,Crosshouse and Gatehead Rural,S02000249
68,East Ayrshire,Bonnyton and Town Centre,S02000250
69,East Ayrshire,New Farm Loch South,S02000251
70,East Ayrshire,"Altonhill South, Longpark and Hillhead",S02000252
71,East Ayrshire,Dean and New Farm Loch North,S02000253
72,East Ayrshire,Altonhill North and Onthank,S02000254
73,East Ayrshire,Southcraig and Beansburn,S02000255
74,East Ayrshire,Kilmaurs Rural,S02000256
75,East Ayrshire,Northern and Irvine Valley Rural,S02000257
76,East Ayrshire,Stewarton West,S02000258
77,East Ayrshire,Stewarton East,S02000259
