"","ReferenceArea","code","value","variable","Area"
"1","Scotland","S92000003",10194,"All","Country"
"2","Scotland","S92000003",25493,"65 And Over","Country"
"3","S01003424","S01003424",20833,"65 And Over","Data Zones"
"4","S01000329","S01000329",12644,"65 And Over","Data Zones"
"5","S01003425","S01003425",40385,"65 And Over","Data Zones"
"6","S01000330","S01000330",13613,"65 And Over","Data Zones"
"7","S01006133","S01006133",26190,"65 And Over","Data Zones"
"8","S01003426","S01003426",45408,"65 And Over","Data Zones"
"9","S01000331","S01000331",18243,"65 And Over","Data Zones"
"10","S01000332","S01000332",19186,"65 And Over","Data Zones"
"11","S01004973","S01004973",21244,"65 And Over","Data Zones"
"12","S01000333","S01000333",10924,"65 And Over","Data Zones"
"13","S01003427","S01003427",32955,"65 And Over","Data Zones"
"14","S01000334","S01000334",21491,"65 And Over","Data Zones"
"15","S01005747","S01005747",18919,"65 And Over","Data Zones"
"16","S01000335","S01000335",21311,"65 And Over","Data Zones"
"17","S01003428","S01003428",57407,"65 And Over","Data Zones"
"18","S01000336","S01000336",22917,"65 And Over","Data Zones"
"19","S01004974","S01004974",20588,"65 And Over","Data Zones"
"20","S01003429","S01003429",40000,"65 And Over","Data Zones"
"21","S01000337","S01000337",20370,"65 And Over","Data Zones"
"22","S01000338","S01000338",28319,"65 And Over","Data Zones"
"23","S01004975","S01004975",15517,"65 And Over","Data Zones"
"24","S01003430","S01003430",41379,"65 And Over","Data Zones"
"25","S01000339","S01000339",15596,"65 And Over","Data Zones"
"26","S01000340","S01000340",23464,"65 And Over","Data Zones"
"27","S01006423","S01006423",14286,"65 And Over","Data Zones"
"28","S01000341","S01000341",17647,"65 And Over","Data Zones"
"29","S01003431","S01003431",50691,"65 And Over","Data Zones"
"30","S01000342","S01000342",16352,"65 And Over","Data Zones"
"31","S01004976","S01004976",24084,"65 And Over","Data Zones"
"32","S01005748","S01005748",23200,"65 And Over","Data Zones"
"33","S01000343","S01000343",17857,"65 And Over","Data Zones"
"34","S01003432","S01003432",7692,"65 And Over","Data Zones"
"35","S01000344","S01000344",25625,"65 And Over","Data Zones"
"36","S01000345","S01000345",13043,"65 And Over","Data Zones"
"37","S01003433","S01003433",29630,"65 And Over","Data Zones"
"38","S01004977","S01004977",21698,"65 And Over","Data Zones"
"39","S01000346","S01000346",10448,"65 And Over","Data Zones"
"40","S01000347","S01000347",18033,"65 And Over","Data Zones"
"41","S01003434","S01003434",28977,"65 And Over","Data Zones"
"42","S01000348","S01000348",19658,"65 And Over","Data Zones"
"43","S01006134","S01006134",21348,"65 And Over","Data Zones"
"44","S01000349","S01000349",35593,"65 And Over","Data Zones"
"45","S01003435","S01003435",65152,"65 And Over","Data Zones"
"46","S01000350","S01000350",21552,"65 And Over","Data Zones"
"47","S01004978","S01004978",9816,"65 And Over","Data Zones"
"48","S01003436","S01003436",32787,"65 And Over","Data Zones"
"49","S01000351","S01000351",24627,"65 And Over","Data Zones"
"50","S01000352","S01000352",10625,"65 And Over","Data Zones"
"51","S01005749","S01005749",22543,"65 And Over","Data Zones"
"52","S01000353","S01000353",6061,"65 And Over","Data Zones"
"53","S01003437","S01003437",19048,"65 And Over","Data Zones"
"54","S01000354","S01000354",17355,"65 And Over","Data Zones"
